cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
39,1704078300.0,8.02,1481.5384615384614,34.58931336201445,635.9002540364008,1.003366200098613,6.013267599802774,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0744}",0.0,{},347.4,3,False
40,1704078600.0,7.33,1495.0,35.34758969612989,628.1002536476752,0.3132024902156161,6.703595019568768,LOW,corrosion,True,"{'AQUATREAT-2501': 0.0645, 'AQUATREAT-1196': 0.207, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0742}",0.0,{},179.45,3,False
41,1704078900.0,7.55,1479.0,33.76222633160601,625.9398695335259,0.5636054622474944,6.422789075505011,LOW,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0375, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0743}",0.0,{},225.89,3,False
42,1704079200.0,7.49,1492.0,34.247621516319406,651.0298051679612,0.4861833822140831,6.517633235571834,LOW,corrosion,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0743}",0.0,{},265.53,3,False
43,1704079500.0,7.43,1850.0,34.71248368606485,614.1596934341469,0.5181433272754434,6.393713345449113,LOW,biofouling,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0615}",0.0,{},314.17,3,False
44,1704079800.0,7.41,1441.0,35.234840812688816,664.0207740621938,0.44068519548939733,6.5286296090212055,LOW,biofouling,True,"{'AQUATREAT-2501': 0.3662, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0747}",0.0,{},383.38,3,False
45,1704080100.0,8.03,1443.0,34.085597792529434,630.4857609418723,1.0177871322590466,5.994425735481906,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.219, 'AQUATREAT-1196': 1.19, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0761}",0.0,{},423.9,2,False
46,1704080400.0,8.04,1456.0,33.65351622611493,643.9611047554522,1.038173747875713,5.963652504248573,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1912, 'AQUATREAT-1196': 1.1012, 'AQUATREAT-2150': 0.037, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0757}",0.0,{},381.06,1,False
47,1704080700.0,8.08,1464.0,34.94096208896272,642.5775310030017,1.2829299617675307,5.514140076464939,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1926, 'AQUATREAT-1196': 0.7019, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0756}",0.0,{},296.72,1,False
48,1704081000.0,8.07,1505.0,34.47090662461994,681.642800067583,1.2932255818754381,5.483548836249124,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1853, 'AQUATREAT-1196': 0.6758, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0736}",0.0,{},293.01,1,False
49,1704081300.0,7.51,1442.0,34.61899813632631,665.2421424850788,0.7098721609560243,6.090255678087951,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.0557, 'AQUATREAT-1196': 0.1951, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0763}",0.0,{},169.33,3,False
