SHRIRAM ALKALI & CHEMICALS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"HYDROTECH  SERVICES , VAPI",Unnamed: 7,Unnamed: 8
REPORT : 01.04.2010 TO 30.06.2010,,,,"MAIN PLANT COOLING TOWER        WEX TECH, PUNE",,,,
RAW WATER  (MAIN PLANT ),,,,,,,,
,,,,,,,,
DATE,pH,TOTAL(TH),CALCIUM(CaH),TOTAL(TALK),P-ALKALINITY,CHLORIDE,SILICA,T.D.S
,,HARDNESS,HARDNESS,ALKALINITY,(PALK),(CL),SIO2,
UNITS,-,PPM,PPM,PPM,PPM,PPM,PPM,PPM
,,HARDNESS,HARDNESS,ALKALINITY,(PALK),(CL),SIO2,
UNITS,-,PPM,PPM,PPM,PPM,PPM,PPM,PPM
01.12.12,7.91,116,70,155,0,30,-,177
05.12.12,8.08,109,67,172,0,29,-,195
07.12.12,8.08,108,66,160,0,19,-,185
10.12.12,7.9,112,68,158,0,22,18,186
12.12.12,8.3,111,67,175,2,21,17,162
14.12.12,8.3,116,70,175,2,22,-,164
17.12.12,7.9,115,70,150,0,21,17,159
27.12.12,8.26,110,67,170,0,19,-,153
31.12.12,8.05,118,71,165,0,18,17,170
02.01.13,7.95,115,70,145,0,20,-,182
05.01.13,8.03,117,71,150,0,21,20,190
08.01.13,8.18,110,67,160,0,18,-,161
11.01.13,8.22,112,68,162,0,17,-,164
18.01.13,8.21,125,73,150,0,22,18,190
25.01.13,8.01,130,74,145,0,25,-,210
30.01.13,7.82,120,72,142,0,25,19,212
04.02.13,8.06,117,71,150,0,24,18,194
08.02.13,8.1,128,75,162,0,28,-,208
13.02.13,8.1,130,78,155,0,30,-,220
18.02.13,7.98,138,76,160,0,28,21,205
19.02.13,8.04,135,75,165,0,28,21,214
